,SONY,RBLX,NVDA,U,SPOT
250,657600,,20366000,,
251,344900,,18034400,,
252,688900,,14852800,,
253,2482200,,35807600,,
254,3482600,,49027200,,
255,5280900,,44934400,,
256,2109400,,64530400,,
257,1869600,,39847200,,
258,2392400,,40937200,,
259,2060500,,46935600,,
260,2372000,,48167200,,
261,3010700,,60023600,,
262,1662000,,84145200,,
263,2170200,,45714000,,
264,2711600,,48118000,,
265,1303000,,48145600,,
266,1689200,,25799600,,
267,1177500,,27072800,,
268,1078300,,22794400,,
269,739900,,23170000,,
270,2452800,,27677600,,
271,5517000,,31050400,,
272,1908700,,28988400,,
273,2829000,,34190800,,
274,1575300,,32677200,,
275,980700,,34814000,,
276,1225500,,60042800,,
277,1545200,,60885200,,
278,3052300,,42537200,,
279,963800,,33580000,,
280,1243500,,34014400,,
281,1160900,,34081600,,
282,1274300,,48535200,,
283,1084600,,77146800,,
284,603500,,106866000,,
285,749700,,52562800,,
286,547700,,44966800,,
287,1149700,,36938000,,
288,670700,,33685200,,
289,1050900,,34961600,,
290,2366400,,36196400,,
291,1138500,,32334400,,
292,1072800,,34870000,,
293,1638200,,23381200,,
294,5248300,,30200400,,
295,1671000,,17530400,,
296,2042500,,23996800,,
297,1477800,,27494000,,
298,1527600,,22278800,,
299,2391400,,28608400,,
300,1414400,,27740000,,
301,799100,,19031200,,
302,660200,,22621600,,
303,1382800,,36364400,,
304,2838900,,35368000,,
305,1062700,,54551200,,
306,957400,,33778000,,
307,819600,,24201200,,
308,816800,,42900800,,
309,860400,,24495600,,
310,819700,,26538800,,
311,1163800,,26181200,,
312,957600,,37670000,,
313,459900,,37988400,,
314,1242800,,34829200,,
315,2136300,,39394000,,
316,4076900,,33956800,,
317,1528300,,45337600,,
318,1231400,,37810400,,
319,979600,,25593600,,
320,2463400,,38752400,,
321,2373300,,29276400,,
322,1150400,,35071600,,
323,1499400,,41656400,,
324,1709300,,43697200,,
325,2942000,,30732000,,
326,1187000,,30915200,,
327,1665900,,20017200,,
328,2830100,,17828000,,
329,2935500,,22354000,,
330,1500300,,19197200,,
331,722300,,21453600,,
332,1110500,,35239600,,
333,2232100,,38122400,,
334,2256700,,32190400,,
335,1242000,,25607600,,
336,957600,,22402400,,
337,3020900,,52576400,,
338,3336900,,24688400,,
339,2335700,,18324000,,
340,734900,,33333600,,
341,1134600,,26967600,,
342,1713800,,32817600,,
343,2598100,,67054000,,
344,3034000,,211025600,,
345,1496100,,97303200,,
346,1391200,,62839200,,
347,1686500,,54107200,,
348,849600,,39888000,,
349,566300,,39108400,,
350,533000,,41363600,,
351,3613300,,41578800,,
352,2512000,,45807600,,
353,1050200,,30996400,,
354,597100,,27741600,,
355,1292700,,41252400,,
356,631900,,38713200,,
357,592300,,32920800,,
358,1625300,,46107600,,
359,1044300,,32251200,,
360,773500,,19340000,,
361,962500,,23461600,,
362,776900,,47216800,,
363,888700,,40002400,,
364,1130400,,47558800,,
365,1140400,,29834400,,
366,808200,,30103600,,
367,995100,,24645600,,
368,992400,,47100000,,
369,918300,,29376800,,
370,1300800,,21250800,,
371,1061400,,20262000,,
372,828000,,29788000,,
373,2464600,,101768400,,
374,1694100,,44908800,,
375,1327800,,38192000,,
376,2147200,,31893200,,
377,1341200,,43094000,,
378,1062300,,21848800,,
379,1166300,,37108400,,
380,1757500,,27310400,,
381,1752900,,39540000,,
382,1086700,,48193200,,
383,1984400,,44877600,,
384,2595200,,43676000,,
385,2054700,,32460400,,
386,1540300,,31689200,,
387,1021200,,42861600,,
388,845200,,25299200,,
389,730400,,38265200,,
390,484400,,29646000,,
391,1053800,,36130800,,
392,456500,,31576800,,
393,1163800,,31252800,,
394,642400,,51450800,,
395,743100,,44667600,,
396,1465000,,22191600,,
397,3656400,,40958800,,
398,1797000,,30112000,,
399,1130900,,28274800,,
400,788200,,29982800,,
401,921400,,27271200,,
402,646900,,37158800,,
403,827100,,30506400,,
404,815600,,37234400,,
405,813600,,37574000,,
406,915700,,68106400,,
407,672900,,142574400,,
408,753500,,57330400,,
409,406500,,28765200,,
410,1026500,,59521200,,
411,1223000,,33168400,,
412,1219100,,29156000,,
413,725300,,24474800,,
414,813700,,33976400,,
415,962400,,29844800,,
416,742900,,40603200,,
417,984400,,30002400,,
418,997700,,27465200,,
419,661900,,28554400,,
420,840900,,38854400,,
421,1112300,,42849200,,
422,914300,,32314800,,
423,956100,,30681200,,
424,1099200,,39798800,,
425,993600,,31580800,,
426,1047500,,69776000,,
427,1495100,,59826000,,
428,1017500,,47176800,,
429,543600,,31904800,,
430,608800,,51521200,,
431,1057200,,90244400,,
432,552900,,41712800,,
433,952100,,33111200,,
434,1331600,,33621200,,
435,971400,,30873200,,
436,789800,,27613200,,
437,855900,,23004000,,
438,765700,,40275200,,
439,705800,,31978800,,
440,873900,,33668400,,
441,1400500,,42993200,,
442,982400,,24259600,,
443,988600,,28162400,,
444,554700,,30544000,,
445,815800,,36021200,,
446,547400,,28626000,,
447,648700,,28787600,,
448,710500,,38854000,,
449,566000,,41992000,,
450,1451800,,39011600,,
451,1168900,,33063600,,
452,484700,,19532800,,
453,657100,,26937200,,
454,612200,,19906000,,
455,491900,,31208400,,
456,1074100,,27950800,,
457,557900,,33983600,,
458,832800,,39746000,,
459,1380700,,33379200,,
460,747800,,38866400,,
461,1106700,,29085600,,
462,1567900,,25238800,,
463,2555200,,47322400,,
464,1881300,,29584800,,
465,985900,,30966400,,
466,1142100,,32878000,,
467,2213000,,48758000,,
468,1131000,,42988400,,
469,1160400,,45653200,,
470,2614700,,86928000,,
471,1133000,,217534400,,
472,1026400,,134879600,,
473,814600,,62609200,,
474,778700,,98798400,,
475,700500,,83298800,,
476,883700,,57606000,,
477,563400,,43643600,,
478,833600,,33036800,,
479,369300,,44323600,,
480,316900,,19556400,,
481,468000,,27873600,,
482,443400,,44456800,,
483,750000,,44050000,,
484,1456800,,103552400,,
485,952600,,47829200,,
486,940500,,60228400,,
487,656300,,49879600,,
488,789700,,48080400,,
489,2029000,,38154400,,
490,895900,,38231200,,
491,1056100,,60133200,,
492,806200,,38779600,,
493,876300,,98398000,,
494,765900,,74654800,,
495,869400,,108952800,,
496,711100,,74465600,,
497,356600,,84805600,,
498,404600,,57613600,,
499,852200,,71861200,,
500,331400,,64769200,,
501,402400,,119427200,,
502,355900,,229576400,,
503,431400,,217536800,,
504,645300,,121293200,,
505,894900,,150199600,,
506,910500,,119922000,,
507,1027500,,98429600,,
508,964800,,82285600,,
509,648700,,91624800,,
510,848200,,88092000,,
511,1217100,,52566400,,
512,2038600,,62561600,,
513,805300,,45782000,,
514,741400,,58061200,,
515,571700,,65442400,,
516,825200,,64487200,,
517,796800,,49202400,,
518,538900,,36990400,,
519,493100,,42805200,,
520,795500,,52276000,,
521,946700,,45880000,,
522,703100,,47199600,,
523,1885900,,49600400,,
524,1070600,,36275600,,
525,868400,,59000400,,
526,2153500,,48324000,,
527,1034600,,37274400,,
528,629400,,50676800,,
529,598600,,74622400,,
530,606300,,44958000,,
531,490600,,84256800,,
532,518700,,165109200,,
533,664100,,118072400,,
534,550000,,85063200,,
535,628600,,37302000,,
536,654000,,64717600,,
537,756000,,56374000,,
538,727200,,55195200,,
539,668100,,43377200,,
540,958900,,159288800,,
541,535300,,102990400,,
542,686400,,71540000,,
543,826700,,62536000,,
544,1103400,,50480400,,
545,1097800,,75433200,,
546,952800,,86469200,,
547,537800,,88356800,,
548,476400,,60340000,,
549,367800,,63871200,,
550,558000,,47806000,,
551,1190100,,49974000,,
552,642200,,77413600,,
553,431500,,52201600,,
554,631200,,61503600,,
555,592300,,52310000,,
556,418600,,111968800,,
557,338200,,74856800,,
558,681500,,91348400,,
559,435300,,61676400,,
560,621200,,53394000,,
561,527500,,43950000,,
562,504500,,50664400,,
563,343600,,43244400,,
564,945200,,34999200,,
565,819700,,52553200,,
566,647000,,44080800,,
567,831300,,44523200,,
568,591600,,127128000,,
569,714700,,74704800,,
570,518500,,63512000,,
571,523500,,42906800,,
572,530500,,75633200,,
573,930400,,61814800,,
574,618200,,41409200,,
575,540800,,50689200,,
576,515400,,49729200,,
577,551000,,37011600,,
578,918700,,38082800,,
579,1241000,,40401600,,
580,2161000,,34189600,,
581,1472300,,37182000,,
582,892400,,38844000,,
583,865200,,32700400,,
584,717900,,31970000,,
585,976800,,34824800,,
586,830500,,30773200,,
587,986500,,62997200,,
588,855900,,33690400,,
589,657700,,20978800,,
590,881500,,22842800,,
591,828100,,36524000,,
592,1016100,,84767200,,
593,893900,,212909600,,
594,696200,,193979200,,
595,529400,,96262000,,
596,768000,,108754000,,
597,742700,,112070000,,
598,1433500,,127136800,,
599,948900,,115603200,,
600,971000,,101837200,,
601,644500,,83660800,,
602,537700,,68124800,,
603,1047100,,81599600,,
604,1718400,,60822800,,
605,2708800,,77914000,,
606,2067900,,98965200,,
607,1047000,,88731600,,
608,1132100,,50334000,,
609,1375200,,48745600,,
610,717400,,81737600,,
611,883400,,75872800,,
612,1060400,,61261200,,
613,1143400,,116174400,,
614,2285400,,369292800,,
615,1263700,,169753200,,
616,817100,,167250400,,
617,748500,,118464000,,
618,996300,,96382400,,
619,809100,,92496000,,
620,1399800,,77817600,,
621,563300,,109544400,,
622,486400,,68265200,,
623,401400,,46913200,,
624,483800,,108858800,,
625,1065200,,106396000,,
626,1067400,,99949200,,
627,846800,,99494800,,
628,802600,,106442400,,
629,925900,,73106000,,
630,632700,,70907200,,
631,1021300,,82018800,,
632,646800,,74628400,,
633,1141400,,65497200,,
634,804500,,95849200,,
635,1290800,,75795600,,
636,999200,,114520800,,
637,523700,,136913200,,
638,529400,,94194800,,
639,535700,,93079200,,
