,tic
1324,AAPL
1327,AAPL
1330,AAPL
1333,AAPL
1336,AAPL
1339,AAPL
1342,AAPL
1345,AAPL
1348,AAPL
1351,AAPL
1354,AAPL
1357,AAPL
1360,AAPL
1363,AAPL
1366,AAPL
1369,AAPL
1372,AAPL
1375,AAPL
1378,AAPL
1381,AAPL
1384,AAPL
1387,AAPL
1390,AAPL
1393,AAPL
1396,AAPL
1399,AAPL
1402,AAPL
1405,AAPL
1408,AAPL
1411,AAPL
1414,AAPL
1417,AAPL
1420,AAPL
1423,AAPL
1426,AAPL
1429,AAPL
1432,AAPL
1435,AAPL
1438,AAPL
1441,AAPL
1444,AAPL
1447,AAPL
1450,AAPL
1453,AAPL
1456,AAPL
1459,AAPL
1462,AAPL
1465,AAPL
1468,AAPL
1471,AAPL
1474,AAPL
1477,AAPL
1480,AAPL
1483,AAPL
1486,AAPL
1489,AAPL
1492,AAPL
1495,AAPL
1498,AAPL
1501,AAPL
1504,AAPL
1507,AAPL
1510,AAPL
1513,AAPL
1516,AAPL
1519,AAPL
1522,AAPL
1525,AAPL
1528,AAPL
1531,AAPL
1534,AAPL
1537,AAPL
1540,AAPL
1543,AAPL
1546,AAPL
1549,AAPL
1552,AAPL
1555,AAPL
1558,AAPL
1561,AAPL
1564,AAPL
1567,AAPL
1570,AAPL
1573,AAPL
1576,AAPL
1579,AAPL
1582,AAPL
1585,AAPL
1588,AAPL
1591,AAPL
1594,AAPL
1597,AAPL
1600,AAPL
1603,AAPL
1606,AAPL
1609,AAPL
1612,AAPL
1615,AAPL
1618,AAPL
1621,AAPL
1624,AAPL
1627,AAPL
1630,AAPL
1633,AAPL
1636,AAPL
1639,AAPL
1642,AAPL
1645,AAPL
1648,AAPL
1651,AAPL
1654,AAPL
1657,AAPL
1660,AAPL
1663,AAPL
1666,AAPL
1669,AAPL
1672,AAPL
1675,AAPL
1678,AAPL
1681,AAPL
1684,AAPL
1687,AAPL
1690,AAPL
1693,AAPL
1696,AAPL
1699,AAPL
1702,AAPL
1705,AAPL
1708,AAPL
1711,AAPL
1714,AAPL
1717,AAPL
1720,AAPL
1723,AAPL
1726,AAPL
1729,AAPL
1732,AAPL
1735,AAPL
1738,AAPL
1741,AAPL
1744,AAPL
1747,AAPL
1750,AAPL
1753,AAPL
1756,AAPL
1759,AAPL
1762,AAPL
1765,AAPL
1768,AAPL
1771,AAPL
1774,AAPL
1777,AAPL
1780,AAPL
1783,AAPL
1786,AAPL
1789,AAPL
1792,AAPL
1795,AAPL
1798,AAPL
1801,AAPL
1804,AAPL
1807,AAPL
1810,AAPL
1813,AAPL
1816,AAPL
1819,AAPL
1822,AAPL
1825,AAPL
1828,AAPL
1831,AAPL
1834,AAPL
1837,AAPL
1840,AAPL
1843,AAPL
1846,AAPL
1849,AAPL
1852,AAPL
1855,AAPL
1858,AAPL
1861,AAPL
1864,AAPL
1867,AAPL
1870,AAPL
1873,AAPL
1876,AAPL
1879,AAPL
1882,AAPL
1885,AAPL
1888,AAPL
1891,AAPL
1894,AAPL
1897,AAPL
1900,AAPL
1903,AAPL
1906,AAPL
1909,AAPL
1912,AAPL
1915,AAPL
1918,AAPL
1921,AAPL
1924,AAPL
1927,AAPL
1930,AAPL
1933,AAPL
1936,AAPL
1939,AAPL
1942,AAPL
1945,AAPL
1948,AAPL
1951,AAPL
1954,AAPL
1957,AAPL
1960,AAPL
1963,AAPL
1966,AAPL
1969,AAPL
1972,AAPL
1975,AAPL
1978,AAPL
1981,AAPL
1984,AAPL
1987,AAPL
1990,AAPL
1993,AAPL
1996,AAPL
1999,AAPL
2002,AAPL
2005,AAPL
2008,AAPL
2011,AAPL
2014,AAPL
2017,AAPL
2020,AAPL
2023,AAPL
2026,AAPL
2029,AAPL
2032,AAPL
2035,AAPL
2038,AAPL
2041,AAPL
2044,AAPL
2047,AAPL
2050,AAPL
2053,AAPL
2056,AAPL
2059,AAPL
2062,AAPL
2065,AAPL
2068,AAPL
2071,AAPL
2074,AAPL
2077,AAPL
2080,AAPL
2083,AAPL
2086,AAPL
2089,AAPL
2092,AAPL
2095,AAPL
2098,AAPL
2101,AAPL
2104,AAPL
2107,AAPL
2110,AAPL
2113,AAPL
2116,AAPL
2119,AAPL
2122,AAPL
2125,AAPL
2128,AAPL
2131,AAPL
2134,AAPL
2137,AAPL
2140,AAPL
2143,AAPL
2146,AAPL
2149,AAPL
2152,AAPL
2155,AAPL
2158,AAPL
2161,AAPL
2164,AAPL
2167,AAPL
2170,AAPL
2173,AAPL
2176,AAPL
2179,AAPL
2182,AAPL
2185,AAPL
2188,AAPL
2191,AAPL
2194,AAPL
2197,AAPL
2200,AAPL
2203,AAPL
2206,AAPL
2209,AAPL
2212,AAPL
2215,AAPL
2218,AAPL
2221,AAPL
2224,AAPL
2227,AAPL
2230,AAPL
2233,AAPL
2236,AAPL
2239,AAPL
2242,AAPL
2245,AAPL
2248,AAPL
2251,AAPL
2254,AAPL
2257,AAPL
2260,AAPL
2263,AAPL
2266,AAPL
2269,AAPL
2272,AAPL
2275,AAPL
2278,AAPL
2281,AAPL
2284,AAPL
2287,AAPL
2290,AAPL
2293,AAPL
2296,AAPL
2299,AAPL
2302,AAPL
2305,AAPL
2308,AAPL
2311,AAPL
2314,AAPL
2317,AAPL
2320,AAPL
2323,AAPL
2326,AAPL
2329,AAPL
2332,AAPL
2335,AAPL
2338,AAPL
2341,AAPL
2344,AAPL
2347,AAPL
2350,AAPL
2353,AAPL
2356,AAPL
2359,AAPL
2362,AAPL
2365,AAPL
2368,AAPL
2371,AAPL
2374,AAPL
2377,AAPL
2380,AAPL
2383,AAPL
2386,AAPL
2389,AAPL
2392,AAPL
2395,AAPL
2398,AAPL
2401,AAPL
2404,AAPL
2407,AAPL
2410,AAPL
2413,AAPL
2416,AAPL
2419,AAPL
2422,AAPL
2425,AAPL
2428,AAPL
2431,AAPL
2434,AAPL
2437,AAPL
2440,AAPL
2443,AAPL
2446,AAPL
2449,AAPL
2452,AAPL
2455,AAPL
2458,AAPL
2461,AAPL
2464,AAPL
2467,AAPL
2470,AAPL
2473,AAPL
2476,AAPL
2479,AAPL
2482,AAPL
2485,AAPL
2488,AAPL
2491,AAPL
2494,AAPL
2497,AAPL
2500,AAPL
2503,AAPL
2506,AAPL
2509,AAPL
2512,AAPL
2515,AAPL
2518,AAPL
2521,AAPL
2524,AAPL
2527,AAPL
2530,AAPL
2533,AAPL
2536,AAPL
2539,AAPL
2542,AAPL
2545,AAPL
2548,AAPL
2551,AAPL
2554,AAPL
2557,AAPL
2560,AAPL
2563,AAPL
2566,AAPL
2569,AAPL
2572,AAPL
2575,AAPL
2578,AAPL
2581,AAPL
2584,AAPL
2587,AAPL
2590,AAPL
2593,AAPL
2596,AAPL
2599,AAPL
2602,AAPL
2605,AAPL
2608,AAPL
2611,AAPL
2614,AAPL
2617,AAPL
2620,AAPL
2623,AAPL
2626,AAPL
2629,AAPL
2632,AAPL
2635,AAPL
2638,AAPL
2641,AAPL
2644,AAPL
2647,AAPL
2650,AAPL
2653,AAPL
2656,AAPL
2659,AAPL
2662,AAPL
2665,AAPL
2668,AAPL
2671,AAPL
2674,AAPL
2677,AAPL
2680,AAPL
2683,AAPL
2686,AAPL
2689,AAPL
2692,AAPL
2695,AAPL
2698,AAPL
2701,AAPL
2704,AAPL
2707,AAPL
2710,AAPL
2713,AAPL
2716,AAPL
2719,AAPL
2722,AAPL
2725,AAPL
2728,AAPL
2731,AAPL
2734,AAPL
2737,AAPL
2740,AAPL
2743,AAPL
2746,AAPL
2749,AAPL
2752,AAPL
2755,AAPL
2758,AAPL
2761,AAPL
2764,AAPL
2767,AAPL
2770,AAPL
2773,AAPL
2776,AAPL
2779,AAPL
2782,AAPL
2785,AAPL
2788,AAPL
2791,AAPL
2794,AAPL
2797,AAPL
2800,AAPL
2803,AAPL
2806,AAPL
2809,AAPL
2812,AAPL
2815,AAPL
2818,AAPL
2821,AAPL
2824,AAPL
2827,AAPL
2830,AAPL
2833,AAPL
2836,AAPL
2839,AAPL
2842,AAPL
2845,AAPL
2848,AAPL
2851,AAPL
2854,AAPL
2857,AAPL
2860,AAPL
2863,AAPL
2866,AAPL
2869,AAPL
2872,AAPL
2875,AAPL
2878,AAPL
2881,AAPL
2884,AAPL
2887,AAPL
2890,AAPL
2893,AAPL
2896,AAPL
2899,AAPL
2902,AAPL
2905,AAPL
2908,AAPL
2911,AAPL
2914,AAPL
2917,AAPL
2920,AAPL
2923,AAPL
2926,AAPL
2929,AAPL
2932,AAPL
2935,AAPL
2938,AAPL
2941,AAPL
2944,AAPL
2947,AAPL
2950,AAPL
2953,AAPL
2956,AAPL
2959,AAPL
2962,AAPL
2965,AAPL
2968,AAPL
2971,AAPL
2974,AAPL
2977,AAPL
2980,AAPL
2983,AAPL
