,AAPL,TSLA,CL=F
167,99455600.0,47533500.0,464449.0
168,118649600.0,49147500.0,549007.0
169,106806000.0,119146500.0,605003.0
170,107210000.0,89661000.0,576915.0
171,107521600.0,65859000.0,932145.0
172,169457200.0,54613500.0,572884.0
173,212008000.0,50668500.0,761943.0
174,186228000.0,56355000.0,688191.0
175,181171200.0,55728000.0,745016.0
176,248704800.0,53841000.0,657775.0
177,443554800.0,33817500.0,705861.0
178,359934400.0,46158000.0,537185.0
179,319547600.0,46617000.0,231191.0
180,188092000.0,34492500.0,129857.0
181,138057200.0,36157500.0,694130.0
182,144012800.0,39502500.0,585987.0
183,124296000.0,35743500.0,521680.0
184,209924800.0,43578000.0,718395.0
185,119477600.0,35916000.0,527119.0
186,98429600.0,50598000.0,630757.0
187,118564400.0,31326000.0,1008434.0
188,143548000.0,40905000.0,702649.0
189,145516400.0,38794500.0,496515.0
190,86807200.0,89998500.0,458021.0
191,118947200.0,53122500.0,513710.0
192,85812400.0,28162500.0,520070.0
193,115117200.0,70551000.0,547915.0
194,97433600.0,52395000.0,618809.0
195,144944000.0,49744500.0,
196,256164000.0,34926000.0,765608.0
197,150347200.0,29560500.0,533884.0
198,140769600.0,37419000.0,740676.0
199,142608800.0,64048500.0,519431.0
200,94499600.0,68311500.0,418723.0
201,98214000.0,85207500.0,192803.0
202,80138400.0,104868000.0,132427.0
203,96503200.0,76093500.0,548947.0
204,92770800.0,44151000.0,551300.0
205,94154800.0,41274000.0,623398.0
206,192516000.0,36675000.0,553778.0
207,264536800.0,84492000.0,679320.0
208,138248000.0,196405500.0,543173.0
209,151446800.0,64201500.0,550081.0
210,105677600.0,70384500.0,649237.0
211,175303200.0,105900000.0,834989.0
212,113326800.0,63801000.0,674322.0
213,107730400.0,39795000.0,540439.0
214,123348000.0,77190000.0,736685.0
215,130240000.0,58051500.0,605733.0
216,97016800.0,49014000.0,669639.0
217,236705600.0,122596500.0,946512.0
218,228538000.0,101254500.0,686338.0
219,136575600.0,59827500.0,
220,204702000.0,98283000.0,704766.0
221,129058000.0,58530000.0,706177.0
222,235362000.0,51516000.0,658169.0
223,110528000.0,73306500.0,284874.0
224,113715600.0,78154500.0,155651.0
225,117058400.0,65415000.0,665326.0
226,103862000.0,84051000.0,826208.0
227,109705600.0,73378500.0,556861.0
228,45903600.0,35491500.0,465977.0
229,108776000.0,67938000.0,734381.0
230,114115200.0,66589500.0,732818.0
231,144649200.0,53206500.0,1311000.0
232,148347600.0,76896000.0,974805.0
233,106112000.0,60634500.0,667099.0
234,137298000.0,61083000.0,600782.0
235,104782000.0,50874000.0,642746.0
236,119994800.0,81928500.0,816879.0
237,108273200.0,47911500.0,780062.0
238,137610400.0,40837500.0,652040.0
239,105497600.0,36583500.0,847025.0
