Date,AAPL,TSLA,CL=F
2015-12-31,26.315000534057617,16.000667572021484,37.040000915527344
2016-01-04,26.337499618530273,14.894000053405762,36.7599983215332
2016-01-05,25.677499771118164,14.895333290100098,35.970001220703125
2016-01-06,25.174999237060547,14.602666854858398,33.970001220703125
2016-01-07,24.112499237060547,14.376667022705078,33.27000045776367
2016-01-08,24.239999771118164,14.066666603088379,33.15999984741211
2016-01-11,24.63249969482422,13.856666564941406,31.40999984741211
2016-01-12,24.989999771118164,13.998000144958496,30.440000534057617
2016-01-13,24.34749984741211,13.354000091552734,30.479999542236328
2016-01-14,24.8799991607666,13.745332717895508,31.200000762939453
2016-01-15,24.282499313354492,13.666000366210938,29.420000076293945
2016-01-19,24.165000915527344,13.64799976348877,28.459999084472656
2016-01-20,24.197500228881836,13.24666690826416,26.549999237060547
2016-01-21,24.075000762939453,13.33133316040039,29.530000686645508
2016-01-22,25.354999542236328,13.50333309173584,32.189998626708984
2016-01-25,24.860000610351562,13.092000007629395,30.34000015258789
2016-01-26,24.997499465942383,12.904000282287598,31.450000762939453
2016-01-27,23.354999542236328,12.538000106811523,32.29999923706055
2016-01-28,23.522499084472656,12.646666526794434,33.220001220703125
2016-01-29,24.334999084472656,12.74666690826416,33.619998931884766
2016-02-01,24.107500076293945,13.129332542419434,31.6200008392334
2016-02-02,23.6200008392334,12.185333251953125,29.8799991607666
2016-02-03,24.087499618530273,11.565333366394043,32.279998779296875
2016-02-04,24.149999618530273,11.688667297363281,31.719999313354492
2016-02-05,23.5049991607666,10.84000015258789,30.889999389648438
2016-02-08,23.752500534057617,9.866000175476074,29.690000534057617
2016-02-09,23.747499465942383,9.883333206176758,27.940000534057617
2016-02-10,23.5674991607666,9.57800006866455,27.450000762939453
2016-02-11,23.424999237060547,10.031332969665527,26.209999084472656
2016-02-12,23.497499465942383,10.06933307647705,29.440000534057617
2016-02-16,24.15999984741211,10.344667434692383,29.040000915527344
2016-02-17,24.530000686645508,11.245332717895508,30.65999984741211
2016-02-18,24.065000534057617,11.118000030517578,30.770000457763672
2016-02-19,24.010000228881836,11.10533332824707,29.639999389648438
2016-02-22,24.219999313354492,11.849332809448242,31.479999542236328
2016-02-23,23.672500610351562,11.814000129699707,31.8700008392334
2016-02-24,24.024999618530273,11.933333396911621,32.150001525878906
2016-02-25,24.190000534057617,12.495332717895508,33.06999969482422
2016-02-26,24.227500915527344,12.689332962036133,32.779998779296875
2016-02-29,24.172500610351562,12.795332908630371,33.75
2016-03-01,25.13249969482422,12.423333168029785,34.400001525878906
2016-03-02,25.1875,12.555999755859375,34.65999984741211
2016-03-03,25.375,13.049332618713379,34.56999969482422
2016-03-04,25.752500534057617,13.402667045593262,35.91999816894531
2016-03-07,25.467500686645508,13.685999870300293,37.900001525878906
2016-03-08,25.25749969482422,13.506667137145996,36.5
2016-03-09,25.280000686645508,13.914667129516602,38.290000915527344
2016-03-10,25.292499542236328,13.678667068481445,37.84000015258789
2016-03-11,25.565000534057617,13.833333015441895,38.5
2016-03-14,25.6299991607666,14.34333324432373,37.18000030517578
2016-03-15,26.145000457763672,14.555999755859375,36.34000015258789
2016-03-16,26.49250030517578,14.795332908630371,38.459999084472656
2016-03-17,26.450000762939453,15.092000007629395,40.20000076293945
2016-03-18,26.479999542236328,15.515999794006348,39.439998626708984
2016-03-21,26.477500915527344,15.887999534606934,39.90999984741211
2016-03-22,26.68000030517578,15.616000175476074,41.45000076293945
2016-03-23,26.532499313354492,14.838666915893555,39.790000915527344
2016-03-24,26.417499542236328,15.183333396911621,39.459999084472656
2016-03-28,26.297500610351562,15.350666999816895,39.38999938964844
2016-03-29,26.920000076293945,15.342000007629395,38.279998779296875
2016-03-30,27.389999389648438,15.12600040435791,38.31999969482422
2016-03-31,27.247499465942383,15.317999839782715,38.34000015258789
2016-04-01,27.497499465942383,15.839332580566406,36.790000915527344
2016-04-04,27.780000686645508,16.465999603271484,35.70000076293945
2016-04-05,27.452499389648438,17.031333923339844,35.88999938964844
2016-04-06,27.739999771118164,17.69466781616211,37.75
2016-04-07,27.135000228881836,17.14666748046875,37.2599983215332
2016-04-08,27.165000915527344,16.67133331298828,39.720001220703125
2016-04-11,27.2549991607666,16.661333084106445,40.36000061035156
2016-04-12,27.610000610351562,16.521333694458008,42.16999816894531
2016-04-13,28.010000228881836,16.968666076660156,41.7599983215332
2016-04-14,28.024999618530273,16.790666580200195,41.5
2016-04-15,27.462499618530273,16.96733283996582,40.36000061035156
2016-04-18,26.8700008392334,16.92533302307129,39.779998779296875
2016-04-19,26.727500915527344,16.4913330078125,41.08000183105469
2016-04-20,26.782499313354492,16.6646671295166,42.630001068115234
2016-04-21,26.49250030517578,16.55266761779785,43.18000030517578
2016-04-22,26.420000076293945,16.916667938232422,43.72999954223633
2016-04-25,26.270000457763672,16.788000106811523,42.63999938964844
2016-04-26,26.087499618530273,16.916000366210938,44.040000915527344
2016-04-27,24.454999923706055,16.764667510986328,45.33000183105469
2016-04-28,23.707500457763672,16.513999938964844,46.029998779296875
2016-04-29,23.434999465942383,16.05066680908203,45.91999816894531
2016-05-02,23.40999984741211,16.1200008392334,44.779998779296875
2016-05-03,23.795000076293945,15.48799991607666,43.650001525878906
2016-05-04,23.547500610351562,14.837332725524902,43.779998779296875
2016-05-05,23.309999465942383,14.10200023651123,44.31999969482422
2016-05-06,23.18000030517578,14.328666687011719,44.65999984741211
2016-05-09,23.197500228881836,13.928000450134277,43.439998626708984
2016-05-10,23.354999542236328,13.912667274475098,44.65999984741211
