Date,SONY,RBLX,NVDA,U,SPOT
2014-12-31,20.469999313354492,,5.012499809265137,,
2015-01-02,20.559999465942383,,5.03249979019165,,
2015-01-05,20.260000228881836,,4.947500228881836,,
2015-01-06,20.25,,4.797500133514404,,
2015-01-07,21.530000686645508,,4.784999847412109,,
2015-01-08,21.559999465942383,,4.965000152587891,,
2015-01-09,21.34000015258789,,4.985000133514404,,
2015-01-12,21.360000610351562,,4.922500133514404,,
2015-01-13,21.18000030517578,,4.914999961853027,,
2015-01-14,20.700000762939453,,4.934999942779541,,
2015-01-15,20.93000030517578,,4.900000095367432,,
2015-01-16,20.670000076293945,,4.989999771118164,,
2015-01-20,20.81999969482422,,5.005000114440918,,
2015-01-21,21.90999984741211,,5.074999809265137,,
2015-01-22,22.170000076293945,,5.162499904632568,,
2015-01-23,22.600000381469727,,5.177499771118164,,
2015-01-26,23.3700008392334,,5.15500020980835,,
2015-01-27,23.059999465942383,,4.90749979019165,,
2015-01-28,23.459999084472656,,4.827499866485596,,
2015-01-29,23.56999969482422,,4.945000171661377,,
2015-01-30,23.290000915527344,,4.800000190734863,,
2015-02-02,23.329999923706055,,4.90500020980835,,
2015-02-03,23.389999389648438,,5.027500152587891,,
2015-02-04,25.940000534057617,,5.039999961853027,,
2015-02-05,26.81999969482422,,5.122499942779541,,
2015-02-06,26.56999969482422,,5.099999904632568,,
2015-02-09,25.690000534057617,,5.09499979019165,,
2015-02-10,26.059999465942383,,5.237500190734863,,
2015-02-11,26.100000381469727,,5.202499866485596,,
2015-02-12,27.110000610351562,,5.574999809265137,,
2015-02-13,27.299999237060547,,5.577499866485596,,
2015-02-17,26.600000381469727,,5.59499979019165,,
2015-02-18,28.020000457763672,,5.53000020980835,,
2015-02-19,27.3700008392334,,5.545000076293945,,
2015-02-20,27.260000228881836,,5.585000038146973,,
2015-02-23,27.030000686645508,,5.539999961853027,,
2015-02-24,27.739999771118164,,5.577499866485596,,
2015-02-25,27.690000534057617,,5.534999847412109,,
2015-02-26,28.1299991607666,,5.550000190734863,,
2015-02-27,28.31999969482422,,5.514999866485596,,
2015-03-02,28.110000610351562,,5.650000095367432,,
2015-03-03,27.829999923706055,,5.545000076293945,,
2015-03-04,27.889999389648438,,5.607500076293945,,
2015-03-05,28.059999465942383,,5.715000152587891,,
2015-03-06,27.510000228881836,,5.637499809265137,,
2015-03-09,27.270000457763672,,5.652500152587891,,
2015-03-10,26.56999969482422,,5.75,,
2015-03-11,26.84000015258789,,5.71999979019165,,
2015-03-12,27.1299991607666,,5.667500019073486,,
2015-03-13,26.559999465942383,,5.675000190734863,,
2015-03-16,25.81999969482422,,5.742499828338623,,
2015-03-17,26.75,,5.8125,,
2015-03-18,28.110000610351562,,5.71750020980835,,
2015-03-19,27.850000381469727,,5.804999828338623,,
2015-03-20,27.90999984741211,,5.867499828338623,,
2015-03-23,27.780000686645508,,5.677499771118164,,
2015-03-24,27.56999969482422,,5.599999904632568,,
2015-03-25,26.690000534057617,,5.260000228881836,,
2015-03-26,26.540000915527344,,5.242499828338623,,
2015-03-27,26.780000686645508,,5.34499979019165,,
2015-03-30,27.09000015258789,,5.367499828338623,,
2015-03-31,26.780000686645508,,5.232500076293945,,
2015-04-01,27.260000228881836,,5.252500057220459,,
2015-04-02,27.850000381469727,,5.264999866485596,,
2015-04-06,29.350000381469727,,5.417500019073486,,
2015-04-07,28.969999313354492,,5.465000152587891,,
2015-04-08,29.520000457763672,,5.505000114440918,,
2015-04-09,29.899999618530273,,5.632500171661377,,
2015-04-10,30.559999465942383,,5.690000057220459,,
2015-04-13,30.3700008392334,,5.637499809265137,,
2015-04-14,31.1299991607666,,5.590000152587891,,
2015-04-15,31.75,,5.65749979019165,,
2015-04-16,31.079999923706055,,5.622499942779541,,
2015-04-17,30.010000228881836,,5.550000190734863,,
2015-04-20,30.360000610351562,,5.522500038146973,,
2015-04-21,30.8799991607666,,5.514999866485596,,
2015-04-22,32.349998474121094,,5.577499866485596,,
2015-04-23,30.719999313354492,,5.554999828338623,,
2015-04-24,31.34000015258789,,5.507500171661377,,
2015-04-27,31.190000534057617,,5.550000190734863,,
2015-04-28,31.010000228881836,,5.577499866485596,,
2015-04-29,30.700000762939453,,5.534999847412109,,
2015-04-30,30.229999542236328,,5.550000190734863,,
2015-05-01,30.90999984741211,,5.6875,,
2015-05-04,31.149999618530273,,5.652500152587891,,
2015-05-05,30.329999923706055,,5.507500171661377,,
2015-05-06,29.959999084472656,,5.525000095367432,,
2015-05-07,30.299999237060547,,5.622499942779541,,
2015-05-08,30.639999389648438,,5.207499980926514,,
2015-05-11,30.84000015258789,,5.15749979019165,,
2015-05-12,31.510000228881836,,5.207499980926514,,
2015-05-13,32.0,,5.237500190734863,,
2015-05-14,32.189998626708984,,5.322500228881836,,
2015-05-15,32.7400016784668,,5.324999809265137,,
2015-05-18,32.45000076293945,,5.317500114440918,,
2015-05-19,32.61000061035156,,5.260000228881836,,
2015-05-20,32.16999816894531,,5.260000228881836,,
2015-05-21,31.809999465942383,,5.222499847412109,,
2015-05-22,31.719999313354492,,5.215000152587891,,
2015-05-26,31.6299991607666,,5.182499885559082,,
2015-05-27,31.239999771118164,,5.460000038146973,,
2015-05-28,31.18000030517578,,5.534999847412109,,
2015-05-29,30.920000076293945,,5.53249979019165,,
2015-06-01,30.799999237060547,,5.59499979019165,,
2015-06-02,30.540000915527344,,5.485000133514404,,
2015-06-03,30.43000030517578,,5.425000190734863,,
2015-06-04,30.020000457763672,,5.522500038146973,,
