,0
0,1.0
1,0.9977406378381437
2,0.9762105871348863
3,0.9608959585904318
4,0.9467640204680198
5,0.9337781181546948
6,0.9356283950728792
7,0.9161053365449275
8,0.9224192522408837
9,0.9149319351396801
10,0.9110174695033227
11,0.9008974403910848
12,0.9737337200301325
13,1.0407543714499208
14,1.0108407180592303
15,1.003545993495429
16,0.981567124911899
17,0.9985293890488302
18,1.0229576229544237
19,1.0279434607744704
20,1.0121811238591112
21,1.062541983727183
22,1.0655162356865553
23,1.0524851998665123
24,1.0411710460433614
25,1.0349720856545923
26,1.0285209161631934
27,1.051141061427972
28,1.0983151419709507
29,1.115494365682791
30,1.1921190964903499
31,1.1830277076881945
32,1.178765155801889
33,1.2073607165546336
34,1.2158639261942918
35,1.223661718000001
36,1.267807410039002
37,1.2771893676285786
38,1.3037678600973819
39,1.3056064576583464
40,1.3217353165053185
41,1.3497851885069916
42,1.3862516501793005
43,1.414207244386748
44,1.3934275510986078
45,1.4294064722080777
46,1.4129823263460088
47,1.4244491881995562
48,1.4565266386005058
49,1.4760859507366957
50,1.4967053041364773
51,1.533652431928463
52,1.5581385652962787
53,1.5770631226399554
54,1.6172095932690485
55,1.5743064897850154
56,1.5995951754966946
57,1.6135917344602901
58,1.6053466067675957
59,1.5932935756199356
60,1.60718348443642
61,1.6401866995613459
62,1.6888727843572824
63,1.7244287639982512
64,1.7849225021054778
65,1.7358945861779398
66,1.7131432963344506
67,1.7318354008505281
68,1.7485374471664932
69,1.7870668098553106
70,1.7708790366107212
71,1.7783112315206915
72,1.76459444717158
73,1.7391744151076733
74,1.7609045170541655
75,1.7538949434109485
76,1.7777557622426636
77,1.765318601330144
78,1.7724241036734962
79,1.7900274418156426
80,1.7675652938394784
81,1.7318985387018337
82,1.7279034506647
83,1.717819409614466
84,1.7095914979511493
85,1.7086058452793043
86,1.721510675094458
87,1.7094242534460113
88,1.747260731390547
89,1.7837743822936991
90,1.7807561531988516
91,1.7671958172241333
92,1.8160105413011907
93,1.8226883361622348
94,1.8587899755593387
95,1.8759186432151893
96,1.901458221655252
97,1.9048394641731894
98,1.9106005264434944
99,1.9174321647136454
100,1.9422459930253262
101,1.937087102241547
102,1.9361587591813958
103,1.9169092830074865
104,1.9152565747099148
105,1.9136104309588668
106,1.9183684203113147
107,1.9959703509987647
108,2.010538694580189
109,2.010972024520461
110,1.9859795473303712
111,1.9737328762321253
112,1.9572856062280033
113,1.9570815107953388
114,1.942454980099961
115,1.9871516317697382
116,2.021161508337949
117,2.0174588487378067
118,1.8816757613032815
119,1.9027663649691884
120,1.8683870447802635
121,1.891304933912454
122,1.9309407123165296
123,1.9915596948669327
124,2.0080851382719525
125,2.03181092877206
126,2.009751851004532
127,2.0147053432603923
128,2.0161273259460546
129,2.0289933096444774
130,2.0697899492782987
131,2.1338697215712847
132,2.120347316653262
133,2.1278788257217682
134,2.124703391953627
135,2.110866311749886
136,2.0924857846336677
137,2.098651701159429
138,2.0842748729900666
139,2.0900609569340807
140,2.1279193372356398
141,2.1202295416851533
142,2.1734695058135327
143,2.1862376477481216
144,2.2041878684967564
145,2.197638115878231
